2hv6_A	_0_b_7_i_4_e_3_c_3_l	_3_c_7_i_7_d_1_f_4_j	0.630
6w80_A	_7_i_0_-_4_e_0_-_3_c_0_-_0_-_3_l_0_-_2_D_2_D	_15_j_2_D_11_e_5_C_1_c_5_D_1_c_18_k_4_p_4_D_2_D	0.374
1jh3_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_0_g_4_C_6_g_5_h_0_-_3_B_2_A_17_E	0.367
1q5z_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l	_0_b_3_c_6_j_8_k_4_j_2_b_1_l	0.436
4gh9_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_1_b_6_B_3_b_2_e_0_A_7_b_0_-_1_E_5_E	0.496
5aun_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_1_b_2_h_1_f_0_-_0_-_10_D_3_H	0.453
6gcs_H	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_11_j_5_i_4_g_13_E_2_d_2_j_13_E_11_B	0.536
1ikn_D	_0_b_0_-_7_i_4_e_0_-_3_c_3_l	_9_b_8_f_3_i_14_f_3_g_15_c_6_g	0.398
1f0n_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_10_j_5_d_5_d_6_e_3_D_13_p_5_C	0.567
3dzc_A	_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_0_-_2_D	_14_i_3_C_2_h_4_b_0_B_3_l_1_h_9_E_9_l_3_E	0.390
1f6f_A	_0_b_7_i_4_e_3_c_3_l	_0_b_10_r_7_c_6_e_2_k	0.497
6lut_A	_0_b_7_i_0_-_4_e_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_1_b_3_h_9_B_4_j_4_E_4_h_3_D_3_l_2_A_6_m_5_D	0.363
5fdx_A	_0_b_0_-_7_i_4_e_3_c_3_l	_9_b_0_B_5_B_7_e_16_d_5_l	0.505
2tps_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_4_j_3_C_0_-_9_m_3_C_2_f_3_C	0.500
2wvq_A	_0_b_7_i_4_e_3_c_3_l_2_D	_6_c_6_s_2_c_4_b_2_m_11_B	0.480
1gve_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_0_-_0_-_2_D	_6_b_2_g_2_D_3_e_4_d_13_g_2_m_6_j_5_b_2_C	0.411
5jmu_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D	_0_b_10_F_6_i_5_D_3_b_3_d_0_-_3_E	0.471
6zzl_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_2_b_2_l_6_b_4_C_1_c_0_-_14_C_4_H	0.440
3mms_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_5_b_17_i_3_G_7_i_0_-_0_-_3_D_2_i_4_H	0.380
3nrh_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_b_1_m_5_n_0_-_17_m_1_B_2_B	0.409
4obm_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_4_k_1_A_3_d_2_g_7_A_5_C_2_C	0.386
1o4w_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_6_c_3_f_2_F_0_i_0_-_4_k_3_B_6_j_2_B	0.375
3tau_B	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_6_i_6_A_22_h_0_-_0_-_4_D_2_D	0.453
1kcx_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_3_k_6_e_0_-_3_m_3_E_2_k_3_E	0.581
4i3x_C	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_7_j_4_C_6_j_4_b_0_B_4_i_5_D_2_g_6_D	0.380
2ffi_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_5_b_4_h_0_-_15_d_7_B_14_i_2_C_6_g_6_B	0.488
5twt_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_7_b_10_k_6_l_19_f_7_h_5_j_2_B_0_g_6_h_10_B	0.351
6eeq_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_3_b_5_k_3_H_10_i_3_D_3_c_3_f_2_b_2_D_10_D	0.433
4kdz_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_9_b_0_-_6_e_0_C_2_g_0_-_3_D_7_b_6_D	0.480
2g9d_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_15_c_14_h_2_H_12_d_2_c_18_A_52_B_6_B_3_D	0.462
1dm5_A	_0_b_7_i_4_e_3_c_3_l	_3_g_2_j_2_k_5_g_4_l	0.403
5w10_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_3_c_4_A_3_h_3_B_2_b_6_e_0_-_6_C_10_C	0.474
1gv3_A	_0_b_7_i_4_e_3_c_0_-_0_-_0_-_3_l_2_D_2_D	_0_d_7_j_2_d_2_e_1_b_5_n_11_j_2_k_4_F_5_F	0.427
1dxj_A	_0_b_7_i_4_e_0_-_3_c_0_-_3_l	_11_b_38_j_9_c_1_k_8_d_7_d_6_k	0.491
1r5j_A	_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_2_i_22_f_5_c_5_d_17_h_11_C_3_b_4_A	0.436
1jji_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D	_10_d_9_j_3_d_5_b_8_G_3_k_4_I	0.444
2jh8_A	_7_i_4_e_0_-_0_-_3_c_0_-_3_l_2_D_2_D	_5_h_1_d_2_D_11_C_7_c_10_D_8_m_5_F_7_D	0.472
6dxq_B	_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_10_g_5_e_0_-_3_E_11_o_4_D_10_g_9_C	0.446
1nez_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_2_k_1_g_0_-_5_k_7_G_5_J_4_E	0.423
1d3v_A	_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_9_j_0_-_2_d_6_E_17_n_3_D_3_k_4_D	0.532
1bxb_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_0_c_17_j_0_-_3_D_0_c_8_l_5_B_6_d_7_o_3_C	0.442
1jr3_D	_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_4_f_0_-_4_E_2_m_3_E_6_k_4_E	0.363
3uxy_B	_0_b_7_i_4_e_0_-_3_c_3_l_0_-_2_D	_9_b_2_g_5_h_8_E_2_c_6_l_4_b_1_G	0.529
1u79_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_0_c_3_C_7_g_12_E_1_b_2_b_0_-_1_C_2_C	0.433
2cvh_A	_7_i_4_e_0_-_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_6_h_5_f_0_C_6_j_4_F_7_c_4_m_3_D_16_d_3_F	0.380
1r0p_A	_0_b_7_i_4_e_3_c_0_-_0_-_0_-_3_l_2_D_2_D	_0_b_2_i_0_-_3_b_0_J_2_G_3_G_5_l_11_D_3_F	0.466
5wkj_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_c_0_-_10_f_2_b_0_-_0_C_4_A_1_F	0.392
1ycg_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_13_b_2_j_0_-_0_-_5_l_6_C_4_A_3_k_5_E	0.534
1d2z_B	_0_b_7_i_4_e_3_c_3_l	_0_b_2_p_6_d_6_f_5_k	0.478
1zma_A	_4_e_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_0_d_4_A_2_h_4_E_4_m_4_C_3_k_6_E	0.356
3ulx_A	_0_b_7_i_4_e_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_0_b_0_-_6_d_9_A_2_b_2_b_1_b_6_F_7_B_2_D	0.396
6m8v_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_5_i_5_E_1_j_4_c_0_-_4_C_6_b_7_F	0.445
2f2e_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_c_0_-_6_e_5_g_3_k_4_B_6_B	0.500
3ma0_A	_0_b_7_i_0_-_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_1_b_1_k_6_C_2_j_8_A_6_h_4_C_2_l_8_C_4_F	0.425
1pqu_A	_7_i_0_-_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_4_k_5_F_10_b_6_A_3_c_4_C_3_k_5_C_10_C	0.401
3f8l_B	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_0_b_3_c_6_e_7_H_3_f_0_-_7_H_5_I_3_C	0.351
1xo1_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_0_d_5_k_2_F_6_c_8_j_4_A_6_l_3_C_3_e_4_C	0.400
2a5s_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_6_A_5_f_3_i_4_h_0_-_5_D_0_h_6_D	0.472
7mrl_C	_0_b_7_i_4_e_3_c_3_l	_0_f_14_k_4_d_1_m_2_m	0.426
1yje_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_j_3_b_18_p_9_p_6_B_4_C	0.399
5ttf_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_9_b_0_-_15_c_24_A_16_b_0_-_5_D_5_D	0.501
5nfr_A	_7_i_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_4_j_0_-_3_b_0_B_2_l_4_b_0_E_7_H	0.430
2qgv_A	_7_i_0_-_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_0_f_6_A_2_h_4_D_16_c_8_C_2_j_6_E_2_F	0.390
1lq9_A	_7_i_4_e_0_-_0_-_3_c_3_l_2_D	_2_j_5_d_3_G_5_G_2_c_7_j_9_D	0.501
1ddz_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_0_b_6_g_9_F_3_g_5_l_1_c_5_o_1_g_5_F_7_E	0.432
4ov6_E	_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_10_j_10_E_0_-_9_m_5_D_3_A_2_j_3_D	0.373
3cp8_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_16_b_4_D_2_g_15_e_0_-_0_-_7_E_6_D	0.552
3twr_C	_0_b_7_i_4_e_0_-_3_c_3_l	_14_f_3_h_14_f_3_h_14_c_5_h	0.357
1jnu_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_f_3_c_4_c_6_k_3_G_5_J_8_H	0.448
2anu_A	_7_i_0_-_4_e_3_c_3_l_0_-_2_D_0_-_2_D	_9_i_4_H_1_h_0_-_12_n_2_H_4_E_11_i_3_C	0.361
1e6p_A	_0_b_7_i_0_-_4_e_3_c_3_l_0_-_2_D_2_D	_2_c_3_g_4_D_29_c_6_f_8_h_6_b_0_E_1_D	0.459
4eek_A	_7_i_4_e_0_-_3_c_3_l_0_-_2_D_0_-_2_D	_4_i_3_c_3_A_1_c_8_h_4_b_0_D_2_i_2_D	0.471
4wgf_A	_0_b_7_i_4_e_3_c_3_l	_1_b_5_h_9_h_2_b_1_j	0.636
6hgc_C	_0_b_7_i_4_e_3_c_3_l	_2_d_3_g_4_f_14_l_4_l	0.521
1ece_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_18_i_4_F_0_c_22_k_3_G_16_k_6_D_19_l_4_D	0.384
5hc6_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D	_3_b_2_k_5_d_5_D_2_b_2_k_6_E	0.598
4g9i_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D	_4_b_3_g_5_b_7_d_1_d_0_-_5_D	0.649
5zcy_A	_0_b_0_-_7_i_0_-_0_-_4_e_3_c_3_l_2_D	_1_b_1_E_8_j_3_C_2_E_5_f_4_b_0_-_0_C	0.354
1xx6_A	_4_e_0_-_3_c_3_l_2_D_2_D	_4_d_6_C_2_b_3_j_3_E_19_C	0.516
6g2j_S	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_3_b_0_-_2_c_5_d_0_-_6_E_5_B	0.486
4a34_A	_0_b_0_-_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_5_c_3_C_4_j_10_C_10_h_6_b_0_C_1_h_3_D_8_D	0.416
3chx_J	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_7_b_5_g_6_i_5_l_21_j_4_k_1_k_1_B_4_B	0.409
1mp1_A	_0_b_7_i_4_e_3_c_3_l	_0_c_9_l_5_h_7_g_6_m	0.467
2cu2_A	_0_b_7_i_4_e_0_-_3_c_0_-_3_l_2_D_0_-_0_-_2_D	_3_b_2_h_5_b_0_E_0_i_4_D_4_l_3_E_3_A_2_k_5_E	0.394
6zzm_B	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_2_b_2_l_5_c_4_C_1_c_0_-_14_C_4_H_2_J_2_C	0.389
2hzb_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_5_b_6_C_7_h_2_C_9_c_4_f_0_-_3_D_13_f_10_D	0.458
1qhx_A	_7_i_0_-_4_e_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_6_j_4_D_0_f_2_c_5_B_5_B_1_n_3_E_5_j_4_F	0.380
1b1x_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_9_b_21_i_5_D_2_d_3_c_0_-_2_D_3_C	0.721
6ayy_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_1_b_9_j_0_-_4_b_1_D_2_j_3_D_3_h_7_F	0.510
2f46_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_4_i_3_C_0_-_12_j_3_C_9_j_5_C	0.362
1wsa_B	_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_13_h_1_d_2_E_5_b_2_l_3_F_5_h_8_C	0.530
7pwf_T	_7_i_4_e_0_-_3_c_0_-_0_-_3_l_2_D_2_D	_0_j_10_b_17_l_8_c_4_B_7_B_3_l_1_B_4_B	0.430
3e3p_A	_0_b_0_-_0_-_7_i_4_e_3_c_0_-_3_l	_21_b_2_c_8_l_9_j_4_f_6_c_6_c_8_j	0.363
2c8a_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_9_k_9_F_1_c_1_b_12_j_3_C_3_C	0.520
2j07_A	_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_9_f_4_F_1_c_3_n_4_D_2_j_4_D	0.503
2i5h_A	_0_b_7_i_4_e_3_c_3_l	_2_b_2_l_2_g_9_c_5_k	0.637
5zbr_A	_0_b_7_i_0_-_4_e_3_c_3_l_0_-_2_D_2_D	_12_c_5_g_3_G_5_d_0_-_8_l_4_K_2_C_8_C	0.530
3edg_A	_0_b_7_i_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_2_b_0_-_0_-_2_b_0_E_5_m_3_C_7_D_14_D	0.507
1z05_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_31_c_1_k_14_h_0_-_3_q_3_D_1_n_2_c_3_C	0.366
5a2d_C	_0_b_7_i_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_2_b_1_c_2_e_7_B_9_d_5_D_2_k_3_C_4_D	0.592
4upk_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_4_b_3_g_2_F_5_i_3_c_15_f_4_D_7_b_5_b_10_D	0.471
4ube_A	_0_b_0_-_0_-_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_1_b_5_d_7_D_0_j_3_d_5_C_1_b_0_-_1_C_5_C	0.455
4ywk_A	_7_i_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_0_k_8_f_7_D_0_f_1_h_1_n_8_D_5_A	0.392
1stz_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_k_0_-_8_c_9_l_2_D_3_b_4_E	0.671
6qu0_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_10_b_0_B_2_A_0_-_3_c_3_n_2_F_7_i_6_C	0.419
3gc8_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l	_9_c_5_i_10_d_2_b_5_b_9_c_4_k	0.496
1x24_A	_7_i_4_e_3_c_0_-_3_l_2_D	_7_i_2_E_8_c_4_C_11_l_4_D	0.497
3las_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_0_b_3_g_9_F_3_b_3_j_14_k_8_F_6_B	0.489
6k13_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_0_b_14_D_3_j_5_D_3_j_2_b_0_-_4_D_2_c_4_C	0.432
1v6w_A	_0_b_7_i_0_-_4_e_0_-_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_1_b_3_i_2_C_5_c_9_j_3_H_5_c_3_m_6_E_14_c_4_j_4_E	0.416
1mi3_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_2_b_2_k_5_b_1_E_1_b_2_l_4_E_33_k_3_F	0.521
1fx7_A	_0_b_7_i_4_e_0_-_0_-_0_-_3_c_3_l_2_D_2_D	_8_j_5_i_15_c_13_A_0_b_6_G_1_c_2_h_7_E_5_C	0.380
2hq4_B	_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_6_i_0_-_5_b_13_k_7_b_1_D_2_D	0.639
1uqt_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_1_b_2_f_6_C_7_c_5_g_4_C_2_k_2_C_3_C	0.497
1jv1_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_0_-_2_D	_2_b_2_j_3_k_8_b_0_B_4_l_3_E_13_b_10_n_7_D	0.480
3vmf_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_6_j_5_k_3_b_2_c_3_e_6_E_4_E	0.501
1ffv_B	_7_i_4_e_3_c_3_l_2_D_2_D	_0_g_11_c_7_b_0_-_6_F_5_F	0.514
3wsr_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_1_i_3_A_5_i_4_E_17_e_0_-_9_D_2_D	0.516
2e7j_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_2_c_5_h_3_b_5_c_4_D_2_j_5_D_4_h_3_D	0.547
1iho_A	_0_b_0_-_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_3_b_3_e_4_i_4_B_3_c_15_b_2_c_3_l_3_D_3_k_4_D	0.563
1xma_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_0_b_1_j_2_A_0_j_0_-_7_k_3_G_2_F	0.538
4djd_F	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_8_b_7_F_7_f_6_i_5_D_1_b_8_k_4_C_4_k_6_E	0.431
5h5x_C	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_c_9_D_4_j_3_E_0_-_2_k_4_D_5_l_4_C	0.368
2d62_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_0_-_2_D	_2_c_14_i_5_j_4_b_4_b_2_k_5_A_9_d_2_i_2_E	0.393
1afr_A	_7_i_4_e_3_c_3_l_0_-_2_D_0_-_2_D	_16_j_4_l_1_b_5_o_3_c_3_C_0_b_2_D	0.380
3jd5_j	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_j_3_c_18_b_10_e_8_C_1_b_7_H	0.429
3ejw_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_4_j_6_D_2_i_5_B_2_m_7_C_3_E	0.441
7ee6_F	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_2_b_3_F_4_i_6_C_13_E_5_b_0_-_0_D_10_D	0.429
4jf4_B	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_9_b_3_A_0_e_3_j_1_j_23_j_7_j_0_D_2_I	0.364
6igf_E	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_8_b_0_P_2_i_1_f_3_c_0_-_3_C_4_A	0.594
1boo_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_8_b_8_B_7_h_12_i_0_-_0_-_5_C_6_g_3_E	0.421
1nnw_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_9_k_2_C_2_g_8_d_4_p_5_D_2_E	0.514
4rrf_C	_4_e_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_2_d_1_n_3_E_1_b_6_m_3_C_4_H_6_D	0.377
4m1u_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_5_b_1_j_6_A_2_g_0_-_1_i_6_B_2_B	0.502
1y8g_B	_0_b_7_i_0_-_0_-_4_e_3_c_3_l_2_D_2_D	_0_b_2_j_14_B_3_C_8_g_0_-_3_n_12_B_4_B	0.473
2zon_G	_0_b_7_i_4_e_3_c_3_l	_3_b_6_i_1_i_6_c_4_k	0.790
5xym_T	_4_e_3_c_0_-_3_l_2_D_0_-_0_-_2_D	_0_c_6_f_3_C_7_j_8_C_3_A_4_A_3_F	0.353
2z3u_A	_4_e_3_c_3_l_0_-_2_D_2_D	_0_c_27_b_4_m_1_c_3_D_8_E	0.606
1qzp_A	_0_b_7_i_4_e_3_c_3_l	_0_b_1_b_2_f_4_e_2_j	0.583
4hoi_A	_7_i_4_e_3_c_3_l_2_D_2_D	_1_f_3_c_7_b_6_j_4_G_5_J	0.427
5bnc_B	_0_b_0_-_7_i_4_e_0_-_0_-_3_c_3_l_0_-_2_D_2_D	_7_b_1_I_3_k_1_d_6_L_4_D_0_e_6_k_1_i_9_E_3_G	0.361
1mc2_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_j_0_-_3_d_17_k_14_C_2_C	0.640
2b69_A	_0_b_0_-_0_-_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_1_b_5_D_12_C_12_k_2_e_2_F_0_c_22_j_11_E_2_A_8_j_3_C	0.382
2ilx_A	_0_b_0_-_7_i_4_e_0_-_0_-_3_c_0_-_3_l_2_D_2_D	_11_c_9_E_8_d_2_e_3_J_4_D_3_d_21_B_8_l_5_E_2_D	0.407
3c98_A	_0_b_0_-_7_i_4_e_0_-_0_-_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_4_b_5_D_5_g_2_c_1_E_5_A_4_B_5_e_1_b_4_m_4_C_4_n_13_E	0.355
1tjy_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_4_j_6_D_2_i_4_C_2_l_9_C_3_E	0.445
4toq_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_7_b_5_h_4_F_4_A_0_-_4_l_16_D_8_h_9_C	0.487
2j5b_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_17_b_7_i_10_c_7_b_0_-_2_B_2_B	0.583
5c0o_F	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_3_f_6_i_7_D_6_h_4_D_4_j_7_C_9_C	0.394
3w4o_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_13_b_9_A_1_g_10_j_8_c_0_-_5_G_5_G	0.499
1ofu_A	_0_b_7_i_4_e_0_-_0_-_0_-_3_c_3_l_2_D	_2_c_8_i_1_g_4_F_4_l_3_G_2_b_1_l_4_E	0.393
2xtb_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_2_d_1_g_0_-_3_D_2_c_1_k_3_D_3_e_1_i_2_D	0.456
5exy_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_2_b_10_j_17_E_5_b_1_D_9_b_7_b_1_D_2_I_8_G	0.354
6abw_A	_0_b_7_i_4_e_3_c_3_l	_7_i_5_j_7_j_2_f_24_l	0.483
4bl4_C	_0_b_7_i_4_e_3_c_3_l	_4_b_11_k_4_l_2_g_8_l	0.489
4zzt_A	_4_e_0_-_3_c_3_l_2_D_2_D	_7_f_0_B_4_d_0_-_1_C_2_D	0.537
2rki_A	_0_b_0_-_7_i_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_13_b_5_E_4_b_4_f_1_B_2_b_4_D_9_n_3_E_2_E	0.421
1q0r_A	_0_b_0_-_7_i_4_e_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_1_b_0_F_8_i_12_j_5_l_7_k_9_c_5_h_4_E_9_f_4_E	0.362
1t06_A	_0_b_0_-_7_i_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_4_b_5_c_5_i_3_m_2_b_2_m_2_m_1_k_1_E_2_F	0.419
3s6k_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_2_D	_1_c_21_j_43_i_16_e_14_C_7_j_16_D_5_F	0.582
1z06_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_4_c_0_-_3_d_4_F_3_d_1_j_7_E_4_b_4_i_4_B	0.389
1uf9_A	_7_i_4_e_3_c_0_-_0_-_0_-_3_l_0_-_2_D_0_-_2_D	_0_j_1_f_1_b_0_A_2_A_1_g_3_m_2_c_4_D_9_b_2_D	0.373
2yzq_A	_0_b_0_-_0_-_7_i_0_-_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_0_b_10_c_13_A_4_h_5_D_5_E_0_e_1_b_6_b_14_j_3_E_3_F	0.364
1fuj_A	_4_e_3_c_3_l_2_D_0_-_2_D	_1_c_4_b_0_-_0_D_12_I_12_D	0.515
1jhf_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_m_5_f_0_-_5_k_3_B_7_B_7_C	0.406
1x0h_A	_4_e_0_-_3_c_3_l_2_D_2_D	_0_f_2_C_5_d_0_-_1_D_7_E	0.545
4m91_A	_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_2_c_11_F_3_b_2_n_7_F_4_e_7_D	0.425
6vx4_G	_4_e_0_-_3_c_3_l_2_D_2_D	_3_f_1_A_7_d_20_j_8_F_4_B	0.525
1bf6_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_3_b_3_j_2_E_4_b_3_c_2_k_9_G_7_m_3_C	0.518
4n0i_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_1_b_5_m_18_D_8_i_1_g_3_d_0_-_4_D_7_D	0.582
4p04_B	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_0_-_0_-_8_b_0_-_4_D_5_E_1_D	0.372
3e4e_A	_4_e_3_c_3_l_2_D_0_-_0_-_0_-_2_D	_2_c_13_c_25_m_0_D_3_b_6_A_3_A_5_D	0.492
6xgy_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_5_i_0_C_11_j_4_k_3_b_9_j_6_D_7_m_2_D	0.397
1txk_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_j_14_c_3_A_1_b_0_-_10_E_7_E	0.540
5f1p_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_5_d_2_f_4_D_2_d_4_b_2_e_9_j_3_E_10_p_1_G	0.372
1afs_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_1_b_5_j_4_E_4_A_16_A_0_-_3_k_3_F_3_g_10_D	0.372
5ndy_C	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_3_b_6_F_11_j_3_I_3_e_0_-_10_k_3_D_10_i_3_D	0.519
5bz1_A	_0_b_7_i_4_e_3_c_3_l	_2_b_1_g_3_e_4_j_2_k	0.626
