2hv6_A	_0_i_3_d_2_f_4_o_9_b	_7_i_7_d_1_f_4_j_4_c	0.627
6zzm_B	_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_b_0_-_2_l_5_c_4_C_1_c_14_C_4_H_2_J	0.465
2hzb_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_4_F_6_h_6_i_4_g_13_f_0_-_7_e_9_C_6_C	0.514
1qhx_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_4_F_2_i_7_d_0_-_0_-_2_b_6_C	0.454
1b1x_A	_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_21_i_5_D_2_d_3_c_2_D_3_C_0_b_6_C_2_D	0.437
6ayy_A	_0_I_0_i_0_-_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_0_-_3_I	_6_I_1_e_5_G_11_F_1_b_9_j_0_-_4_b_1_D_2_j_3_D_3_h_7_F_0_k_2_E	0.352
3we4_A	_0_I_0_i_3_d_0_-_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_8_G_0_-_0_d_2_l_8_E_3_F_6_g_4_n_9_b_0_B_5_B	0.416
5bn4_A	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_4_F_3_k_9_c_0_E_6_m_4_F_1_k_6_b_4_h_3_C_0_-_0_-_5_I	0.375
7pwf_T	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_j_10_b_0_-_17_l_8_c_4_B_7_B	0.405
3e3p_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_5_G_7_j_7_G_7_G_5_h_7_m_13_b_0_C_4_C	0.531
2j07_A	_0_i_3_d_2_f_4_o_0_-_9_b	_1_f_12_d_5_j_2_o_1_c_5_b	0.547
2h1r_A	_0_I_0_-_0_i_3_d_2_f_4_o_0_-_9_b	_6_G_1_d_2_j_6_d_0_-_2_m_9_j_7_b	0.457
3edg_A	_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J	_2_b_2_b_0_E_5_m_0_-_3_C_7_D_14_D	0.350
1z05_A	_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_4_g_3_k_0_-_3_C_1_f_4_D_4_H_2_G	0.526
5a2d_C	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_6_E_3_l_9_m_1_c_2_e_3_q_0_-_5_B_6_H_2_D	0.414
4ube_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_7_D_0_j_3_d_0_-_5_C_1_b_1_C_5_C	0.419
5cxf_A	_9_b_1_C_0_-_5_D_3_J_3_I	_1_b_0_B_5_B_5_E_2_E_2_E	0.444
1stz_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_0_-_5_D_0_-_0_-_3_J_3_I	_2_H_6_j_4_e_3_c_0_-_2_i_6_C_1_e_5_i_3_f_5_C_0_c_2_b_2_I_2_J	0.362
4o9l_A	_0_i_3_d_2_f_4_o_9_b	_0_j_1_c_4_f_5_r_4_j	0.573
3gc8_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_4_G_6_k_10_D_11_E_5_f_4_n_9_b_0_B_5_B	0.484
1x24_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_2_E_7_i_2_E_8_c_0_-_0_-_0_-_4_C_11_l_4_D	0.360
1b80_A	_3_d_2_f_4_o_9_b_1_C	_0_e_6_e_4_l_5_b_1_A	0.499
2hq4_B	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_4_F_3_l_6_i_5_b_13_k_0_-_7_b_1_D_2_D	0.511
1jv1_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_0_i_3_c_2_b_2_j_3_k_8_b_0_B_4_l_3_E	0.466
3vmf_A	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_0_-_0_-_5_D_3_J_0_-_0_-_3_I	_4_E_4_j_3_F_4_d_5_j_4_F_10_m_3_b_2_B_23_e_13_B_2_D_3_F_5_A_3_D_3_I	0.422
1ffv_B	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_0_-_5_D_3_J_3_I	_2_F_5_D_8_k_3_b_0_C_22_o_4_b_0_B_3_C_6_B_0_i_9_F_8_J_5_J	0.422
3wsr_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_I_1_i_3_A_5_i_4_E_17_e_9_D_2_D_0_-_5_H	0.446
4djd_F	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C	_6_E_4_i_2_D_4_j_5_b_0_C_9_m_2_b_3_B	0.356
5bow_A	_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_1_b_1_D_2_D_2_b_6_D_9_E_4_E	0.355
5h5x_C	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_1_G_0_-_5_c_3_g_10_j_1_b_6_C	0.548
1knm_A	_9_b_1_C_0_-_5_D_3_J_3_I	_5_b_1_B_5_B_3_D_0_-_7_E	0.411
1afr_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_16_j_4_l_1_b_0_-_5_o_3_c_3_C_0_b_2_D	0.515
1abr_B	_9_b_1_C_5_D_3_J_3_I	_6_b_1_B_5_B_2_G_7_E	0.524
3jd5_j	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_0_j_3_c_18_b_0_-_10_e_8_C_1_b_7_H_9_H_2_G	0.502
1bzy_A	_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_9_b_0_-_0_-_4_b_3_E_1_n_4_F_3_l_8_J_2_I	0.463
7ee6_F	_0_I_0_i_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_2_F_8_j_2_b_3_F_4_i_6_C_13_E_5_b_0_D_10_D	0.383
6igf_E	_0_I_0_-_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_G_6_E_8_b_0_P_2_i_0_-_1_f_0_-_3_c_3_C_4_A	0.360
4y89_A	_9_b_1_C_0_-_5_D_0_-_0_-_3_J_3_I	_5_b_0_E_4_A_10_B_5_B_4_b_1_H_5_I	0.407
4rrf_C	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_0_-_1_C_0_-_5_D	_10_K_0_-_2_d_0_-_1_n_3_E_1_b_6_m_3_C_4_H_6_D	0.402
1y8g_B	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_5_G_0_b_2_j_14_B_3_C_8_g_3_n_0_-_12_B_4_B	0.377
5xym_T	_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J	_0_c_6_f_3_C_7_j_0_-_8_C_3_A_4_A_3_F	0.428
5eui_B	_0_i_3_d_0_-_2_f_0_-_4_o_0_-_9_b	_1_i_5_d_2_m_5_c_1_d_10_o_2_m_1_c	0.393
2z3u_A	_3_d_2_f_4_o_9_b_1_C_5_D	_0_c_27_b_4_m_1_c_3_D_8_E	0.577
1r61_A	_0_I_0_-_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_15_G_6_A_1_c_9_D_1_c_9_A_1_i_0_-_0_-_3_B_13_g_3_C_9_H_7_H	0.410
2hrv_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D_3_J_3_I	_0_I_0_-_0_b_4_b_2_B_0_b_1_J_9_E_0_b_1_E_1_G_8_I	0.468
4hoi_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_6_D_1_f_3_c_0_-_0_-_7_b_6_j_4_G_5_J_5_I	0.392
5bnc_B	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_1_I_3_k_1_d_6_L_4_D_0_e_6_k_1_i_0_-_9_E_3_G_2_G	0.472
4ye4_G	_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_0_n_4_B_7_c_1_D_2_D_7_B_4_G	0.437
1mc2_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_j_3_d_17_k_0_-_0_-_14_C_2_C	0.426
6n6b_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_F_0_-_2_d_4_J_4_J_0_-_3_b_11_E_9_D_2_E_4_H_2_G	0.384
2j5b_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_3_F_7_l_2_F_1_e_2_c_1_m_4_b_0_-_0_D	0.474
5c0o_F	_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_6_i_7_D_6_h_4_D_4_j_0_-_7_C_9_C_18_E_2_j_3_G	0.370
1bhe_A	_2_f_4_o_9_b_1_C_0_-_5_D_3_J_0_-_3_I	_15_h_2_A_0_-_5_C_2_J_6_C_2_J_10_C_2_E	0.393
1qe0_A	_0_I_0_i_0_-_0_-_3_d_2_f_4_o_9_b_0_-_1_C_5_D_3_J_0_-_3_I	_4_I_4_m_5_F_3_o_2_d_5_c_0_-_5_b_5_l_4_A_10_J_7_J_1_c_6_G	0.360
6s2z_A	_9_b_1_C_5_D_3_J_3_I	_6_b_1_D_6_D_2_F_6_E	0.592
3w4o_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_i_13_b_9_A_1_g_10_j_8_c_0_-_5_G_5_G_6_H	0.480
5by8_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J	_2_I_25_D_1_c_4_k_0_-_9_b_0_-_2_F_9_J	0.415
4x2v_D	_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_0_b_0_C_2_D_4_D_0_b_15_E_2_E	0.392
5exy_A	_0_I_0_-_0_-_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_5_H_1_E_2_b_10_j_17_E_5_b_1_D_9_b_0_-_7_b_0_-_1_D_2_I_8_G	0.414
4bl4_C	_0_i_3_d_2_f_4_o_9_b	_11_k_4_l_2_g_8_l_1_b	0.355
2rki_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_5_E_0_-_4_b_4_f_1_B_2_b_4_D_9_n_3_E_0_-_2_E	0.386
1geh_A	_0_I_0_i_3_d_0_-_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_0_I_5_j_14_f_2_C_8_G_0_b_5_g_0_-_2_c_3_B_1_E	0.402
1l3a_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_H_0_-_0_-_0_-_0_-_7_b_1_D_1_g_7_D_12_G_5_I	0.407
1t4w_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_0_-_0_-_3_I	_10_H_0_-_5_c_0_-_0_-_11_d_10_C_4_D_5_D_6_G_3_b_2_c_2_H	0.435
1fuj_A	_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_1_c_0_-_0_-_4_b_0_D_12_I_12_D_26_E_14_G	0.444
1ys9_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_1_j_4_A_5_j_0_-_3_b_0_D_7_c_4_D	0.394
1jhf_A	_9_b_1_C_0_-_5_D_3_J_3_I	_3_b_6_C_6_b_6_E_8_E_2_I	0.589
1bwv_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_0_-_0_-_3_I	_0_H_5_j_9_d_0_-_0_-_2_c_0_-_2_G_2_J_1_b_5_g_3_b_3_I	0.444
4n0i_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_18_D_8_i_0_-_1_g_0_-_3_d_4_D_7_D	0.407
3e4e_A	_3_d_2_f_4_o_0_-_9_b_1_C_0_-_5_D	_2_c_13_c_25_m_0_D_3_b_6_A_3_A_5_D	0.465
1afs_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C	_10_D_7_i_2_D_18_b_1_h_4_j_0_-_3_C	0.362
5cg0_F	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_2_F_2_C_4_j_0_-_5_f_7_k_11_f_6_C_3_D	0.510
2ocd_A	_0_I_0_i_3_d_2_f_0_-_4_o_0_-_9_b_1_C_5_D	_29_E_9_k_6_D_6_f_8_C_12_k_5_B_7_b_1_C_5_B	0.363
1cyx_A	_9_b_1_C_5_D_3_J_3_I	_0_b_1_D_5_D_5_F_12_E	0.592
1hml_A	_2_f_4_o_9_b_0_-_1_C_5_D	_0_f_1_b_2_b_2_j_6_B_4_B	0.386
1y75_B	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_j_6_c_0_-_15_l_0_-_14_C_2_C	0.439
7a23_B	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_3_i_13_C_2_c_3_j_0_-_0_-_14_C_10_B	0.385
4urs_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_3_G_0_-_0_-_2_g_1_m_0_-_6_C_4_F_3_l_2_B_2_B_3_G	0.375
3jze_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_8_j_5_B_8_c_14_j_3_h_1_e_7_D_3_A	0.381
2azp_A	_0_I_0_-_0_i_3_d_2_f_0_-_0_-_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_I_2_G_9_j_0_-_1_g_9_E_8_E_9_k_0_-_6_E_5_D_5_C_3_J_3_H	0.459
5tcs_B	_0_i_3_d_2_f_4_o_0_-_9_b	_17_i_19_h_4_g_14_o_14_n_4_d	0.511
1lm7_A	_3_d_2_f_4_o_9_b_1_C_5_D	_1_e_5_g_6_c_1_c_5_E_4_C	0.462
1s8f_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_2_I_3_i_5_F_3_d_1_j_0_-_0_-_7_E_10_i_5_B	0.438
6igo_A	_9_b_1_C_5_D_0_-_3_J_3_I	_3_b_3_B_10_B_4_b_1_H_8_G	0.562
1dqz_A	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b_1_C	_6_D_10_j_5_d_5_d_6_f_2_D_13_p_0_-_5_C	0.455
2ybv_B	_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_k_0_-_2_F_10_A_10_k_4_G_4_H	0.359
1vq2_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b	_7_E_3_i_3_E_10_d_3_C_2_b_0_-_5_b	0.364
1aw9_A	_0_i_3_d_2_f_4_o_9_b	_14_i_5_g_5_b_6_p_10_c	0.469
2hzt_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_h_9_b_4_e_0_-_8_h_3_E_5_E	0.404
3dhi_A	_0_i_3_d_0_-_2_f_0_-_4_o_9_b	_3_i_8_c_12_a_5_f_3_s_3_q_7_b	0.440
2whs_B	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_0_-_0_-_1_C_5_D_3_J_3_I	_4_I_7_b_1_b_2_b_0_-_9_c_5_H_4_J_2_J_12_C_2_G_2_J_4_J	0.383
3ta6_A	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_3_E_3_d_3_j_5_c_3_C_2_b_8_m_2_c_4_B_8_d_6_C	0.425
6vst_F	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J	_5_F_10_j_21_E_2_d_0_-_5_l_0_-_4_F_2_l_3_E_19_f_3_H	0.364
1fi4_A	_0_I_0_-_0_-_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_4_E_13_d_2_c_5_e_2_c_3_f_2_h_9_m_0_-_4_D_5_D	0.432
3d4e_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_G_0_-_11_e_6_g_0_-_0_-_4_C_8_B_11_F_2_G	0.442
6jyt_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_13_h_0_-_5_h_2_o_0_-_3_D_5_E_14_E_4_J_5_E	0.594
5yz1_B	_2_f_0_-_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_h_15_F_3_l_2_b_0_-_4_G_3_m_4_J_4_I	0.440
1jdl_A	_0_i_3_d_2_f_4_o_9_b	_0_i_36_g_6_f_3_j_3_c	0.569
2b7y_A	_9_b_1_C_5_D_0_-_3_J_3_I	_10_b_15_E_14_E_6_C_8_G_4_F	0.468
4x30_A	_0_I_0_-_0_i_0_-_3_d_2_f_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_3_G_4_f_2_i_1_I_1_G_1_f_3_b_18_I_11_b_6_B_4_F_0_-_4_G	0.384
1bgv_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_j_2_d_2_d_0_-_2_d_0_-_4_I_5_J_5_F	0.402
1s70_B	_0_i_3_d_2_f_4_o_9_b	_2_h_14_c_3_k_3_o_14_g	0.519
1cvl_A	_0_I_0_i_3_d_0_-_2_f_4_o_0_-_9_b_0_-_1_C_5_D_3_J_3_I	_4_E_2_j_1_b_0_F_7_i_9_j_8_f_2_b_1_i_17_C_0_-_0_-_2_I	0.425
1jzn_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J	_2_I_1_j_3_B_5_k_6_E_8_A_18_b_3_C_1_b_4_C_5_F	0.402
2kjx_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_H_0_-_2_e_0_-_0_-_1_b_4_F_4_E	0.373
1io2_A	_0_I_0_i_3_d_2_f_0_-_0_-_4_o_9_b_1_C_0_-_5_D	_8_H_0_h_2_b_5_j_4_F_1_d_5_l_0_-_6_D_5_i_6_D	0.361
2hye_C	_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D	_5_j_5_m_6_j_8_q_31_l_11_b_1_D_8_D	0.436
1khq_A	_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_7_f_0_-_11_i_31_C_5_i_2_D_4_c_5_A_9_H	0.369
1xod_B	_9_b_1_C_5_D_3_J_0_-_3_I	_0_b_3_F_11_F_4_G_6_C_2_E	0.442
1x3l_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_7_G_11_D_2_f_4_e_3_f_0_-_0_-_3_A_0_-_0_-_10_I	0.363
6fm6_A	_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_f_0_-_2_c_3_A_7_A_4_H_2_G	0.412
2ff4_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_5_j_4_B_0_h_7_n_3_c_0_B_3_C	0.499
1n62_B	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_0_-_5_D_3_J_3_I	_2_F_5_D_8_k_3_b_0_C_23_o_3_b_0_B_3_C_2_F_0_i_10_E_8_J_5_J	0.426
3nxh_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_j_12_e_5_k_0_-_4_e_3_A_3_i_15_E_0_-_4_E	0.366
1t6t_1	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C	_2_g_6_B_5_d_7_C_5_g_0_-_2_d_3_B	0.397
2i6t_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_0_-_3_J_3_I	_4_j_3_b_0_B_3_h_0_-_10_c_0_D_6_D_7_j_9_l_4_G_11_H	0.464
2et1_A	_9_b_1_C_5_D_3_J_3_I	_5_b_5_F_4_E_5_F_2_E	0.503
2jzv_A	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_0_J_11_l_5_g_3_c_4_E_5_g_0_-_0_-_10_B_2_F	0.446
5i2m_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_5_D_0_-_3_J	_5_I_3_j_18_K_2_B_0_-_6_A_4_b_0_A_3_C_4_D_3_e_2_I	0.383
1x2g_C	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_6_I_3_H_0_-_6_d_0_-_31_l_0_-_6_C_9_h_1_c_8_F_2_I_2_H	0.443
1e4v_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_0_E_5_j_3_B_0_j_5_h_5_j_2_d_1_C_5_h_6_E	0.393
4zi9_B	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_E_7_C_0_d_3_e_2_B_5_b_0_B_5_C_5_d_6_G_4_I	0.484
1a0p_A	_0_i_3_d_2_f_4_o_0_-_9_b_0_-_1_C_5_D	_9_h_4_m_16_h_6_l_3_c_4_b_0_A_4_D_5_D	0.393
2gz1_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_0_-_5_D_0_-_0_-_3_J_3_I	_3_G_0_-_1_c_0_-_1_m_3_b_34_k_6_D_9_G_6_h_4_B_3_b_5_c_5_G_6_G	0.391
1znw_A	_0_I_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C	_1_E_0_i_3_C_2_i_4_E_3_h_6_n_0_-_2_C	0.358
1kko_A	_0_I_0_i_3_d_2_f_0_-_0_-_4_o_0_-_9_b_1_C_0_-_5_D	_4_E_16_f_5_c_8_h_1_A_2_A_2_n_3_g_21_c_7_C_14_m_8_D	0.409
1r44_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_0_-_1_C_5_D	_5_F_4_j_8_c_7_c_8_c_2_G_17_b_8_l_3_B_6_C	0.418
4yw4_A	_0_I_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D_0_-_3_J_3_I	_3_I_5_g_0_-_0_-_0_-_4_b_12_H_5_G_10_G_10_C_17_b_7_H_5_G	0.421
5xvq_A	_0_I_0_i_3_d_2_f_4_o_0_-_0_-_9_b_0_-_0_-_1_C_5_D_0_-_3_J_3_I	_1_G_2_j_0_-_9_i_6_j_0_E_16_F_2_c_3_j_2_K_3_C_2_C_5_i_2_H_12_H	0.367
2rd6_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_2_i_9_b_2_n_5_j_15_p_11_g_0_-_2_D_5_j_8_K_9_b_3_G	0.387
5nsj_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J	_6_G_11_A_3_d_9_h_0_-_2_b_6_C_2_b_4_C_3_l_5_b_5_G	0.433
2vzs_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_11_E_8_f_2_h_18_j_5_q_7_E_22_h_3_D_5_E_5_J_4_J_4_F_9_H	0.429
6zis_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_6_i_1_b_3_o_7_k_8_o_0_-_7_A_2_A_4_A_2_A_2_E_12_E	0.368
2k9m_A	_0_i_3_d_2_f_4_o_9_b	_0_j_3_h_13_f_4_j_13_h	0.413
1hqs_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_3_F_0_i_1_b_2_C_1_k_0_-_0_-_7_D_6_D	0.364
1cqd_A	_2_f_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J_3_I	_7_f_11_j_0_-_30_C_5_g_4_D_4_c_5_A_9_J_2_F	0.406
1u6e_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_0_-_3_J_0_-_3_I	_0_H_3_C_0_c_7_g_3_C_6_l_3_b_2_D_10_h_5_D_2_m_5_G_1_b_13_I	0.444
1h44_A	_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_11_i_5_D_2_d_3_e_0_C_5_B_0_e_3_C_2_D	0.422
4a0y_B	_9_b_1_C_5_D_0_-_0_-_0_-_3_J_0_-_3_I	_0_b_5_E_3_F_2_b_6_A_1_l_4_J_8_J_3_I	0.388
1txj_A	_2_f_0_-_4_o_0_-_9_b_1_C_5_D_3_J_0_-_3_I	_0_e_2_B_3_o_1_n_1_b_1_C_10_C_8_D_0_b_0_E	0.406
5u6k_E	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D	_10_E_0_h_6_b_0_-_0_-_1_b_15_C_5_j_3_A_18_B	0.358
1adl_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_0_-_3_I	_0_F_1_g_0_-_3_h_0_-_0_-_5_C_2_E_6_D_5_C_5_H_2_G_2_I	0.463
1ta8_A	_0_I_0_-_0_i_3_d_0_-_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_15_G_2_k_8_h_4_d_4_F_10_i_9_B_2_k_1_b_4_G_2_f_9_D	0.365
4qiw_H	_2_f_4_o_9_b_1_C_0_-_5_D_3_J	_3_i_0_-_4_b_3_A_3_e_6_G_3_J	0.451
2a9s_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_1_E_3_g_0_-_3_f_4_k_0_-_5_F_0_-_14_G_4_F	0.365
5c94_A	_9_b_0_-_0_-_1_C_5_D_3_J_3_I	_2_b_2_I_2_H_6_D_5_E_3_F_2_I	0.427
1g6q_1	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_0_-_3_I	_2_H_2_i_11_d_0_-_4_B_3_b_5_F_5_c_1_H_4_J_10_B_11_J	0.512
1v5w_A	_0_I_0_i_3_d_0_-_0_-_0_-_2_f_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_12_E_6_i_4_e_1_D_5_l_4_F_2_f_0_-_2_b_1_m_6_E_11_F_4_G_8_E	0.426
2z67_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_0_-_5_D	_9_j_2_b_16_e_0_-_21_c_2_k_5_D_6_j_3_D	0.424
2y6p_A	_0_i_0_-_3_d_0_-_2_f_0_-_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_0_i_5_D_2_f_4_C_7_h_6_C_9_k_3_F_2_c_5_C_4_E_0_-_15_I	0.395
6kac_d	_0_i_3_d_0_-_2_f_4_o_9_b	_5_k_6_c_9_A_1_h_10_q_10_b	0.521
5h00_D	_0_i_3_d_2_f_4_o_9_b	_23_k_6_e_3_k_3_n_9_f	0.380
3t5s_A	_4_o_9_b_1_C_5_D_0_-_0_-_3_J	_5_n_3_b_1_E_12_E_5_l_3_b_0_F	0.400
1shy_B	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_9_G_10_D_3_f_7_H_6_J_0_h_0_-_0_-_25_B_3_C_11_H_2_G	0.374
1pl8_A	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_4_i_5_C_11_e_3_C_7_h_0_-_6_b_0_E_0_j_5_D	0.428
3vwb_A	_0_i_3_d_2_f_4_o_0_-_9_b	_0_f_1_c_5_g_3_j_3_d_4_b	0.462
5ded_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_12_E_2_i_4_e_0_-_0_-_0_-_4_F_2_k_4_F_12_I_4_J	0.390
2gan_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_3_i_2_d_19_k_0_-_0_-_0_-_7_E_4_G_3_b_13_H	0.385
