3cwb_F	_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m	_0_k_1_c_3_b_5_h_2_n_5_b_3_b_5_m	0.657
3jab_C	_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c_0_-_2_i	_0_j_0_-_0_-_7_c_0_-_13_k_2_c_0_-_4_k_10_l_4_b_2_k_9_e_3_d_4_k_12_m_2_l_8_l_1_c_2_p_7_b_1_k_6_h	0.471
2qz6_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_l_4_G_2_H_0_-_13_B_1_m_0_-_9_c_1_b_0_-_3_b_3_d_13_h_9_A_3_k_5_c_6_b_4_A_4_e_19_c_3_A_0_-_0_-_1_j_1_b_0_-_2_i	0.388
4n2p_A	_3_C_4_j_2_c_1_c_0_-_2_m	_0_A_5_k_3_b_0_-_4_H_2_n	0.376
3bes_L	_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b	_0_k_5_c_6_e_3_n_8_k_5_j_5_m_2_b	0.740
1nrz_A	_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_0_-_4_j_0_-_2_c	_0_G_5_j_3_D_1_c_2_h_6_D_1_g_2_b_3_E_0_-_2_g_7_F_6_C_2_B_1_j_3_C_10_e	0.514
5vgu_B	_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d	_0_G_1_k_2_I_2_G_1_l_6_G_4_e_6_f	0.483
4mi2_A	_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_0_-_0_-_2_c_1_c_2_m_2_c_0_-_2_c_0_-_7_m_2_k_3_l_6_k	_0_D_0_-_4_E_2_b_5_l_5_E_10_i_1_b_0_-_2_a_5_h_4_D_2_B_1_f_3_D_3_B_2_c_7_h_0_-_1_i_3_A_0_f_4_B_4_k_3_k_4_l_2_j	0.413
1k2w_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_0_-_2_k_3_l_6_k_3_b	_0_E_4_j_2_F_2_j_3_D_0_-_0_-_0_-_5_l_0_-_4_C_0_-_9_b_2_f_6_l_3_E_2_b_0_-_7_p_1_G_7_j_5_h_8_i_3_b	0.403
3obb_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_3_l_6_k_3_b_2_c_2_i	_0_D_8_d_3_D_3_h_3_A_0_-_3_d_4_B_0_-_4_h_12_C_5_j_13_e_9_j_12_l_2_c_2_c_4_e_8_d_10_c_10_k_6_j_0_-_0_-_7_g	0.456
3lgj_A	_4_E_5_k_8_C_0_-_0_-_8_j_0_-_9_D_6_e_1_d_5_F	_0_F_0_-_4_C_5_I_2_G_2_i_5_J_3_E_0_-_0_-_5_D	0.361
3w5n_A	_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_6_F_0_-_1_A_5_A_1_b_5_D_6_B_0_-_6_H_7_b_0_G_5_D_2_l_18_k_3_k_26_k_2_n_0_-_23_o_5_m_11_h_5_m_11_i_3_h_7_d_30_j	0.376
1zx8_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j	_4_E_4_h_2_C_1_A_3_D_9_A_0_-_6_D_0_b_0_-_1_D_15_H_1_e	0.384
1csn_A	_4_E_5_k_8_C_0_-_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b	_3_H_0_-_4_F_4_H_7_i_9_F_2_F_5_f_6_n_3_A_5_b_0_-_0_B_10_B_6_A_0_-_26_c_6_m_12_k_2_c_0_-_5_j_0_-_8_k_9_b	0.399
2q1w_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_0_-_0_-_2_c_3_C_0_-_0_-_4_j_0_-_2_c_1_c_2_m_0_-_2_c_2_c_7_m	_4_j_3_E_6_b_6_D_5_j_3_C_10_d_6_i_4_F_0_c_20_l_3_E_1_B_7_i_5_C_1_A_1_B_0_j_5_C_6_A_0_-_0_j_9_C_13_f_0_-_7_l	0.360
2xv9_A	_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_b_9_j_4_k_3_o_1_k_3_j_6_h_1_f	0.500
2yq4_B	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_0_-_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_6_j_2_D_8_b_5_C_8_i_3_C_15_B_6_l_2_i_0_-_0_-_7_b_4_b_1_D_3_j_3_D_5_b_4_A_2_f_2_C_13_e_5_C_3_b_0_-_2_i_0_-_4_C_5_b_8_b_2_f	0.408
2cpd_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_7_h_6_E_0_-_3_E_2_j_2_B_0_-_0_-_2_E	0.453
2m1i_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C	_0_G_0_-_0_-_2_j_0_-_5_f_4_d_3_D_0_-_6_h_9_A_4_E	0.375
1y7p_B	_0_i_4_E_0_-_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_3_g_5_F_2_d_1_F_1_n_5_F_3_k_3_F_6_j_0_-_3_D_0_-_5_c_2_B_2_j	0.487
1xkp_A	_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_6_k_3_b_2_c_2_i	_0_g_10_l_8_h_19_c_0_-_2_f_3_v_6_k_4_g_7_g_2_f_9_f	0.373
2kvk_A	_8_C_8_j_9_D_0_-_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_0_A_1_j_5_E_5_G_5_e_0_-_8_I_2_J_6_m_0_-_3_E_0_-_2_c_0_-_1_l	0.400
1xty_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_G_6_n_4_j_4_E_2_k_4_D_0_-_0_-_11_I_0_-_0_g_3_B	0.453
1w7j_B	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c	_0_g_0_-_0_-_6_B_3_f_0_-_6_f_5_c_3_B_0_j_4_d_8_B_0_i_6_g_8_B_0_f	0.433
1vr6_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_0_-_1_c_2_m_0_-_2_c_2_c_7_m	_3_F_6_k_4_B_17_k_2_D_3_i_0_-_2_C_1_b_3_g_5_C_6_k_5_D_17_g_4_B_1_d_2_k_3_E_3_b_4_b_3_m	0.536
1dwm_A	_0_i_4_E_5_k_8_C_8_j_9_D	_4_j_4_E_0_-_12_E_4_A_4_B	0.379
7dxm_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_0_-_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_3_l_0_-_0_-_6_k_3_b_2_c	_2_h_5_D_2_c_0_-_6_f_5_D_6_g_3_c_3_D_2_b_7_d_4_h_5_k_6_g_6_q_5_d_1_e_6_k_10_b_8_c_13_k_3_E_4_f_3_l_6_B_1_b_15_l_11_b_2_d	0.492
1x1m_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_0_D_0_-_8_B_16_j_10_D_2_A_6_c_6_E	0.580
2p8t_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_0_-_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_2_c	_6_g_0_-_3_k_3_B_2_B_1_j_6_D_2_G_7_i_0_-_4_G_2_B_7_b_2_e_8_E_3_n_2_c	0.561
1wv8_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_0_H_0_-_4_D_0_-_9_A_2_h_2_e_9_D	0.424
2g8y_B	_0_i_4_E_0_-_0_-_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_0_-_1_c_2_m_2_c_0_-_0_-_2_c_7_m_2_k_0_-_3_l_6_k	_4_g_10_E_2_D_5_f_2_h_1_F_1_A_4_i_3_D_0_-_0_-_22_D_0_-_0_-_7_D_6_h_9_A_5_A_11_A_5_f_0_-_16_b_8_A_2_C_1_b_5_k_14_k_1_B_1_k_3_k	0.368
1hh5_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c	_0_C_0_-_6_C_0_g_0_-_0_-_1_b_12_c_0_-_0_-_5_c_8_c	0.406
3dqq_A	_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_0_-_3_l_0_-_6_k_3_b_2_c_2_i	_0_D_2_k_4_D_12_D_7_m_4_D_12_j_0_-_5_C_3_b_0_-_1_C_2_C_2_A_0_b_1_c_0_-_10_e_6_C_1_e_0_-_1_k_4_C_4_j_4_C_1_j_6_b_6_D_4_i	0.459
3wiw_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c	_0_n_4_E_5_C_8_k_0_-_2_j_0_-_2_d_16_e_2_l_1_A_0_-_4_A_10_B_2_k_0_-_0_-_3_m_10_C_6_D_0_-_11_m_2_l_26_m_4_k_11_b_5_C_0_b	0.419
5zrz_B	_2_c_3_C_4_j_2_c_1_c_2_m	_0_g_0_-_3_h_5_c_4_f_4_k	0.452
4kyi_F	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C_4_j	_0_H_6_g_13_H_0_-_4_H_4_b_3_c_4_F_3_m_5_F_4_b_4_i_3_B_9_i	0.432
1b6g_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c_0_-_2_i	_3_c_10_C_0_-_8_G_0_-_6_C_7_c_3_e_3_D_9_A_2_b_2_l_4_D_0_-_2_e_3_b_0_-_1_b_0_F_11_c_0_-_10_f_6_g_5_g_5_b_1_j_6_g_8_F_7_i	0.373
3dcj_B	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C	_4_g_4_B_2_b_3_k_5_C_8_f_3_D_11_g_0_-_3_H_5_J_6_q_0_-_1_C	0.433
1tr9_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_8_f_4_E_1_b_3_l_4_C_0_-_1_B_0_-_0_-_2_A_0_-_11_e_0_-_3_i_2_c_5_A_13_b_5_k_38_g_18_b_0_-_32_j_0_-_9_i_5_e_7_c_3_g	0.418
7z32_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_0_-_0_-_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_0_-_2_i	_0_I_10_d_17_n_14_D_3_k_7_A_9_b_1_c_0_-_6_j_4_e_0_-_2_j_1_b_1_c_10_c_4_B_4_B_1_m_5_c_0_-_4_l_0_-_6_n_5_A_1_b_1_A_3_D_2_j	0.442
3kxi_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_0_-_3_l	_4_i_3_F_12_h_5_C_5_i_4_B_1_j_3_o_2_q_12_D_0_-_6_g_6_E_2_F_0_-_0_-_0_-_9_l_2_F_0_-_4_m_7_E_8_l_3_E_8_l	0.374
3qo2_C	_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_2_G_4_b_0_-_1_C_0_-_0_b_0_-_1_m	0.456
3evy_A	_2_m_2_c_2_c_7_m_2_k_3_l	_0_n_3_d_0_-_4_o_7_b_4_l	0.542
4h2l_A	_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_1_e_10_m_5_c_1_d_10_m_0_-_6_m	0.744
3kul_B	_0_i_4_E_0_-_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_b_0_H_3_I_2_J_5_k_10_D_1_b_2_D_6_e_7_n_2_A_5_b_0_-_0_B_5_B_6_A_0_-_15_b_0_-_2_e_0_-_4_l_11_h_0_-_12_i_4_b_0_-_3_k	0.350
2r6g_G	_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_17_e_12_t_6_h_0_-_8_l_8_g_0_-_4_j_5_g_4_b_6_n_3_e_3_b_0_-_2_g_7_i_1_j	0.370
5tby_E	_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_0_-_2_i	_0_c_2_c_0_-_9_j_6_i_6_h_8_d_3_b_7_A_0_g	0.474
1sz2_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_0_-_5_F_0_-_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_0_-_3_b_2_c_2_i	_3_j_6_E_0_-_7_A_7_A_0_-_10_E_0_d_6_b_0_B_11_E_3_H_0_-_0_-_2_E_0_-_2_b_0_-_7_k_5_b_0_-_3_k_9_i_3_j_2_i_4_D_4_h_2_e_2_f	0.361
1wte_A	_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c_0_-_7_m_2_k_3_l_6_k	_13_f_5_p_5_d_2_A_2_e_6_d_2_C_5_F_0_-_0_-_7_m_1_b_2_E_10_c_18_D_1_f_6_l_4_l_14_i	0.431
2cpx_A	_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_D_7_f_1_d_6_D_0_-_0_-_6_D_3_i	0.584
2jm5_A	_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_f_3_e_1_k_6_j_4_j_16_i_9_j_5_c_2_f	0.567
4ph6_A	_0_i_4_E_0_-_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k	_4_j_6_D_0_b_6_k_6_C_3_b_7_k_4_D_4_k_0_-_3_G_0_-_6_k_4_E_0_-_0_-_0_-_4_m_5_D_5_c_2_c_3_B_4_i	0.410
1dys_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_3_l_6_k	_3_l_0_-_4_k_4_B_3_m_4_F_0_-_7_b_0_-_8_b_1_c_6_h_5_D_3_f_0_-_0_-_3_n_5_E_3_c_0_-_2_m_7_C_14_b_7_k	0.368
1kag_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k	_0_C_6_j_3_C_0_h_3_q_4_C_4_b_1_i_1_C_0_-_4_d_0_-_12_m_2_A_0_-_0_-_2_k	0.462
1dek_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_0_-_2_c_7_m_2_k	_0_E_6_j_2_B_4_k_0_-_9_c_14_l_9_B_0_-_0_-_4_B_1_j_7_e_0_-_14_k_6_C_5_h_3_E_10_b_9_C_4_k	0.411
5lc5_M	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_0_-_1_c_2_m_2_c_2_c_7_m_0_-_2_k_3_l_0_-_6_k	_0_f_0_-_6_m_0_-_24_k_9_p_4_f_3_h_0_-_8_g_2_d_0_-_1_j_19_l_9_f_8_g_5_b_13_m_6_e_0_-_1_l_2_t_17_i_9_l_3_o_19_l	0.394
2v8a_A	_7_m_2_k_3_l_6_k_3_b_0_-_2_c_2_i	_0_j_6_j_1_k_1_l_1_b_9_p_3_f_3_g	0.511
4g6q_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_3_h_5_A_0_f_0_-_5_k_5_D_0_-_0_-_2_E_0_-_15_d_0_-_2_k_7_c_0_-_12_n	0.387
1l2t_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c	_6_g_7_E_2_A_5_j_0_C_11_i_0_-_8_k_4_b_0_-_4_b_2_k_5_D_7_l_4_D_3_c	0.490
3v4f_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j	_0_H_0_-_0_-_5_i_11_I_2_I_3_b_3_d_4_F_0_-_3_d_1_j_6_E_10_j	0.445
4iiu_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_3_l_6_k_3_b	_5_j_3_E_3_k_4_D_5_l_4_C_9_b_2_f_0_-_5_a_5_i_3_E_0_-_2_d_0_-_0_-_0_-_0_-_5_p_1_G_11_h_0_-_9_j_1_b	0.371
2wb1_I	_0_i_4_E_5_k_0_-_8_C_8_j_9_D	_0_i_0_-_5_l_18_d_11_B_0_-_5_B	0.412
1sei_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C_4_j	_0_l_4_D_2_j_3_G_0_-_0_-_4_F_11_B_8_A_1_b_9_E_2_C_0_f	0.450
4neq_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_0_-_0_-_2_c_0_-_2_c_7_m_2_k_3_l_6_k_0_-_3_b_0_-_2_c_2_i	_2_i_3_D_3_j_3_D_11_i_3_C_2_h_0_-_0_-_4_b_0_-_0_B_3_k_2_g_7_C_4_c_2_m_2_D_2_h_3_e_3_C_4_c_0_-_7_C_0_-_2_h_4_B_8_c_3_B_4_h_16_j	0.458
3fp9_F	_4_E_0_-_5_k_8_C_0_-_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j	_4_E_2_F_5_b_5_C_5_C_0_-_7_G_5_D_0_-_0_-_5_E_0_-_1_c_15_D_4_E_4_i	0.395
7a24_E	_5_k_8_C_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_0_l_3_A_6_g_24_B_7_g_9_B_1_c_0_-_2_b_9_b_5_B_6_l_3_d	0.558
4yr8_D	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_0_C_0_-_2_C_1_c_2_e_2_E_12_b_0_-_0_B_0_-_0_-_0_-_11_l_3_D_0_-_0_-_6_k_3_j_7_k	0.391
1d0c_A	_0_i_0_-_4_E_5_k_8_C_0_-_0_-_0_-_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_0_-_0_-_3_C_0_-_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_6_k_7_b_4_C_6_n_4_C_11_A_9_B_5_B_1_j_14_C_0_-_0_-_6_B_3_b_2_B_6_e_2_B_3_A_3_C_2_B_4_A_2_A_0_a_6_a_0_-_7_f_7_b_1_n_4_A_1_n_6_c_5_b_1_c	0.358
1c30_B	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_0_-_0_-_2_c_3_C_4_j_0_-_2_c	_11_b_9_B_16_f_3_C_3_j_2_F_5_i_9_c_5_B_16_b_2_F_4_h_2_F_4_d_5_C_10_j_5_C_1_h	0.395
1fx0_A	_4_E_5_k_8_C_8_j_0_-_0_-_9_D_6_e_1_d_5_F_0_-_2_b_2_c_0_-_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_37_C_5_i_7_F_3_i_1_b_1_b_1_E_5_b_2_l_3_F_1_k_6_b_12_b_2_A_7_C_2_B_8_f_31_c_2_b_5_j_3_b_0_-_5_m_9_j_8_m_2_i	0.477
4y7i_A	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_4_g_3_b_3_E_0_-_4_E_11_j_8_D_3_h_0_-_13_D_5_l_6_j_1_n_5_C_6_k_1_c_1_f_0_-_11_c_0_-_0_-_0_-_13_l_8_k_10_e_2_c_3_f	0.493
1tlh_A	_2_m_2_c_2_c_0_-_7_m_2_k_3_l_6_k	_0_m_2_d_1_i_3_A_2_A_2_h_3_i_1_k	0.471
5nm9_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_0_-_6_e_1_d_5_F_2_b_0_-_2_c_3_C	_0_h_0_-_8_k_0_-_4_j_10_B_6_B_2_B_1_h_0_-_9_B_7_b_3_B_2_b_0_C	0.495
2hqq_A	_4_E_5_k_8_C_0_-_8_j_0_-_9_D_0_-_6_e_1_d_5_F_0_-_2_b_0_-_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_0_-_2_k_3_l_6_k_3_b_2_c	_13_F_1_j_3_C_1_A_3_j_8_A_7_F_5_C_10_c_4_b_0_F_3_l_3_b_2_E_4_g_3_C_0_-_1_e_0_-_5_j_5_D_1_b_0_-_1_C_5_C_13_k_4_l_0_-_0_-_5_c	0.427
3rnl_A	_4_E_5_k_8_C_8_j_9_D_0_-_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b	_0_B_7_h_4_A_8_e_33_D_20_B_4_g_12_e_1_e_0_-_4_b_3_b_0_-_1_j_1_b_0_-_0_A_0_-_0_-_3_e_0_-_1_j_13_o_0_-_4_b	0.384
6w4u_A	_4_E_5_k_8_C_8_j_9_D_6_e_0_-_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_0_-_2_c_7_m_2_k	_0_D_6_k_7_D_2_j_5_C_16_e_4_C_2_e_4_k_2_E_0_-_3_d_0_-_3_l_1_c_3_C_2_c_7_l_3_e_2_B_8_d_6_C_6_k	0.595
1ixh_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_0_-_0_-_0_-_1_c_0_-_2_m_2_c_2_c_0_-_7_m_2_k	_4_l_2_E_2_h_5_C_5_f_1_L_10_A_1_g_9_e_11_D_4_k_1_e_12_B_1_j_3_E_0_d_4_A_1_B_5_A_3_f_24_I_5_m_1_e_0_-_3_A_0_-_2_k	0.422
2p23_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_0_-_2_c_0_-_3_C_0_-_4_j	_6_E_0_-_4_D_0_-_8_F_0_-_0_-_2_E_5_C_1_b_1_C_4_c_0_E_5_D_4_A_7_f	0.388
3mjd_A	_0_i_0_-_4_E_0_-_5_k_8_C_8_j_0_-_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_0_f_3_F_5_E_1_b_3_m_6_C_4_l_5_C_5_B_6_D_7_j_0_-_4_I_0_-_11_h_3_E_0_j_0_-_0_-_2_k	0.387
1xhf_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_0_D_3_j_4_D_0_-_6_d_4_A_9_j_0_-_6_A_4_i_5_A_0_-_4_l	0.418
1n9l_A	_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_0_E_0_-_0_-_7_C_1_f_3_c_4_c_6_k	0.475
1fo5_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_F_9_j_4_F_0_-_0_-_17_C_0_-_0_-_2_B_7_j	0.398
6t4v_B	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_0_-_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k	_3_h_5_B_1_b_15_k_4_C_8_k_3_D_7_k_0_-_6_E_0_-_1_d_1_k_4_C_5_j_3_C_11_e_0_-_4_C_2_n_3_e_3_f_0_-_2_j	0.531
3evg_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_0_-_0_-_3_l	_0_i_0_-_3_h_3_C_1_g_11_h_8_E_5_f_0_-_4_F_17_b_0_-_0_C_0_-_4_b_0_-_7_C_0_-_0_-_8_m_5_E_5_k_2_B_11_C_6_m	0.410
1yz5_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_3_j_7_s_5_r_7_o_0_-_0_-_6_o_5_l_4_m_7_m	0.369
1qpa_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_0_-_3_C_4_j_2_c_1_c_0_-_2_m_2_c_0_-_0_-_0_-_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c	_0_l_0_-_8_k_0_-_4_d_11_c_0_-_1_c_3_b_2_l_3_k_10_A_20_j_3_c_2_d_2_A_9_A_10_d_16_A_8_A_0_g_4_d_0_-_0_-_5_l_0_-_5_b_1_A_1_b	0.368
4d3z_A	_0_i_0_-_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_0_-_2_c_7_m_0_-_2_k_3_l_6_k	_2_h_2_c_15_E_0_-_6_B_4_B_0_k_5_E_0_-_3_c_9_D_8_E_0_-_0_-_4_D_0_j_7_j_6_C_1_d_0_-_3_c_20_A_0_i_2_p_3_g_7_k_6_m_4_j	0.449
2xc7_A	_7_m_2_k_3_l_6_k_3_b_2_c	_0_j_5_j_1_m_13_j_0_-_5_c	0.601
1deu_A	_0_i_0_-_0_-_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_0_-_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c	_1_i_5_b_11_c_1_D_0_-_2_C_8_F_2_j_2_D_0_-_3_c_5_A_10_J_2_F_0_-_0_-_11_D_0_-_3_c_1_b	0.409
